Nombre del producto,Precio
"LAPTOP WS Core i9-13980HX LENOVO ThinkPad P16 G2 32|S1TB|16"" NVIDIA RTX A2000 8GB","$ 4,140.00 ó S/ 15,525.00"
"LAPTOP Ryzen 5 4600H HP Pavilion 15-ec1037la 16|512|15.6"" GEFORCE GTX 1650 Ti 4GB W11","$ 815.00 ó S/ 3,056.00"
"LAPTOP Ryzen 5 4600H HP Pavilion 15-ec1037la 8|512|15.6"" GEFORCE GTX 1650 Ti 4GB W11","$ 790.00 ó S/ 2,962.50"
LAPTOP Ryzen 5 5500U HP 15-ef2511la 8|256|15.6 W11,"$ 485.00 ó S/ 1,818.50"
"LAPTOP Ryzen 5 5500U LENOVO IdeaPad 5 15ALC05 8GB|256|15.6""","$ 410.00 ó S/ 1,537.50"
"LAPTOP Ryzen 5 5600H DELL Gaming G15 16|512|15.6"" GEFORCE RTX 3050 4GB W11","$ 1,145.00 ó S/ 4,293.50"
"LAPTOP Ryzen 5 5600H DELL Gaming G15 8|512|15.6"" GEFORCE RTX 3050 4GB W11","$ 1,120.00 ó S/ 4,200.00"
"LAPTOP Ryzen 5 7520U ASUS Vivobook Go 15 E1504FA-NJ022 8GB|512|15.6""","$ 430.00 ó S/ 1,612.50"
"LAPTOP Ryzen 7 7840HS DELL Gaming G15 5535 16|512|15.6"" GEFORCE RTX 4050 6GB W11","$ 1,475.00 ó S/ 5,531.00"
"LAPTOP Ryzen 5 7520U LENOVO V15 G4 AMN 8|256|15.6""","$ 399.00 ó S/ 1,496.00"
"LAPTOP Ryzen 7 4700U LENOVO V14 8|1TB|14""","$ 550.00 ó S/ 2,062.50"
"LAPTOP Ryzen 7 4700U LENOVO V14 8|256|14""","$ 590.00 ó S/ 2,212.50"
"LAPTOP Ryzen 9 6900HS ASUS ROG Zephyrus G15 GA503RM-LN118W 16|512|15.6"" 2K GEFORCE RTX 3060 6GB W11","$ 2,180.00 ó S/ 8,175.00"
"LAPTOP Ryzen 9 6900HX ASUS ROG Strix G17 G713RM-LL046W 16|S1TB|17.3"" 2K GEFORCE RTX 3060 6GB W11","$ 2,285.00 ó S/ 8,568.50"
LAPTOP Celeron J4115 CHUWI Gemibook 12|256|13 W11 ULTRA SLIM,$ 220.00 ó S/ 825.00
LAPTOP Celeron N3450 CHUWI Herobook Pro 8|256|13.3 W11 ULTRA SLIM,$ 190.00 ó S/ 712.50
LAPTOP Celeron N4020 LENOVO ThinkPad 300E Chromebook 4/32/11.6 Chrome Pantalla Táctil,"$ 325.00 ó S/ 1,218.50"
"LAPTOP Core i7-1355U HP Elite Dragonfly G4 DUO 16|S1TB|13.5"" W11PRO Pantalla Táctil","$ 2,530.00 ó S/ 9,487.50"
LAPTOP Celeron N4100 HP 240 G7 4|1TB|14,"$ 299.00 ó S/ 1,121.00"
LAPTOP Core i3-1005G1 HP 240 G8 8|1TB|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-1005G1 HP 240 G8 8|256|14 W11,"$ 450.00 ó S/ 1,687.50"
LAPTOP Core i3-10110U DELL Latitude 3410 4|1TB|14,"$ 499.00 ó S/ 1,871.00"
LAPTOP Core i5-1135G7 LENOVO Thinkpad X1 Carbon G9 16|512|14 W11PRO,"$ 2,350.00 ó S/ 8,812.50"
"LAPTOP Core i5-1135G7 LENOVO ThinkPad X1 Yoga G6 DUO 16|512|14"" W11PRO Pantalla táctil","$ 2,499.00 ó S/ 9,371.00"
"LAPTOP Core i5-1240P ASUS Zenbook 14 OLED UX3402ZA-KM233W 8|512|14"" W11","$ 940.00 ó S/ 3,525.00"
LAPTOP Core i5-1335U LENOVO Thinkpad L14 G4 16|512|14 W11PRO,"$ 1,560.00 ó S/ 5,850.00"
"LAPTOP Core i5-1340P LENOVO Yoga Slim 6 14IRP8 16GB|512|14"" 2K W11","$ 890.00 ó S/ 3,337.50"
"LAPTOP Core i7-12700H ASUS Zenbook Pro 14 Duo OLED 16GB|S1TB|14.5"" W11","$ 1,820.00 ó S/ 6,825.00"
"LAPTOP Core i7-1355U DELL Latitude 7440 Hybrid DUO 16|512|14"" W11PRO Pantalla Táctil","$ 1,895.00 ó S/ 7,106.00"
"LAPTOP Core i7-1355U HP Elite x360 1040 G10 DUO 16|S1TB|14"" W11PRO Pantalla Táctil","$ 2,370.00 ó S/ 8,887.50"
"LAPTOP Core i7-13700H GIGABYTE AERO 14 OLED BMF 16|S1TB|14"" 2.8K GEFORCE RTX 4050 6GB W11","$ 2,099.00 ó S/ 7,871.00"
"LAPTOP Ryzen 7 4700U LENOVO V14 8|1TB|14""","$ 550.00 ó S/ 2,062.50"
"LAPTOP Ryzen 7 4700U LENOVO V14 8|256|14""","$ 590.00 ó S/ 2,212.50"
LAPTOP Core i3-1215U LENOVO IdeaPad 3 8|512|15.6,"$ 325.00 ó S/ 1,218.50"
"LAPTOP Core i3-N305 ASUS Vivobook Go 15 E1504GA-NJ191 8|256|15.6""","$ 310.00 ó S/ 1,162.50"
"LAPTOP Core i5-1135G7 ASUS ExpertBook B1 B1500CEAE-EJ2619X 8|512|15.6, W11PRO","$ 530.00 ó S/ 1,987.50"
"LAPTOP Core i5-11400H GIGABYTE G5 16|512|15.6"" GEFORCE RTX 3060 6GB W11","$ 1,499.00 ó S/ 5,621.00"
"LAPTOP Core i5-11400H GIGABYTE G5 16|512|15.6"" GEFORCE RTX 3050 4GB W11","$ 1,290.00 ó S/ 4,837.50"
"LAPTOP Core i5-1235U ACER Aspire 3 A315-59G-54FX 8|256|15.6"" GEFORCE MX550 2GB","$ 660.00 ó S/ 2,475.00"
"LAPTOP Core i5-1235U ACER Aspire 3 A315-59G-586Q 8|512|15.6"" GEFORCE MX550 2GB","$ 680.00 ó S/ 2,550.00"
"LAPTOP Core i5-12450H LENOVO IdeaPad Gaming 3 15IAH7 8|512|15.6"" GEFORCE RTX 3050 4GB","$ 795.00 ó S/ 2,981.00"
LAPTOP Core i5-12450H LENOVO IdeaPad Slim 3 15IAH8 16/512/15.6,"$ 490.00 ó S/ 1,837.50"
"LAPTOP Core i5-12500H AORUS 15 9MF 8|512|15.6"" GEFORCE RTX 4050 6GB W11","$ 1,295.00 ó S/ 4,856.00"
